DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2015-08-07 0:00:00,10306,1389,47,1.83735
2015-08-08 0:00:00,413,1207,70,1.575
2015-08-09 0:00:00,274,1112,36,1.2
2015-08-10 0:00:00,675,1429,140,1.2
2015-08-11 0:00:00,1897,2696,342,0.9252
2015-08-12 0:00:00,334,1218,31,1.0975
2015-08-13 0:00:00,545,1605,72,1.57
2015-08-14 0:00:00,559,1892,66,1.945
2015-08-15 0:00:00,383,1600,37,1.645
2015-08-16 0:00:00,291,1541,27,1.145
2015-08-17 0:00:00,286,1521,31,1.42
2015-08-18 0:00:00,284,1543,33,1.255
2015-08-19 0:00:00,286,1591,43,1.175
2015-08-20 0:00:00,220,1377,54,1.38
2015-08-21 0:00:00,296,1612,66,1.485
2015-08-22 0:00:00,242,1593,30,1.42
2015-08-23 0:00:00,349,1793,72,1.355
2015-08-24 0:00:00,177,1621,25,1.295
2015-08-25 0:00:00,250,1778,55,1.25
2015-08-26 0:00:00,208,1714,57,1.175
2015-08-27 0:00:00,210,1750,36,1.165
2015-08-28 0:00:00,179,1696,61,1.22
2015-08-29 0:00:00,128,1536,39,1.225
2015-08-30 0:00:00,201,1767,49,1.26
2015-08-31 0:00:00,151,1661,46,1.11
2015-09-01 0:00:00,180,1708,56,1.345
2015-09-02 0:00:00,151,1644,40,1.255
2015-09-03 0:00:00,146,1569,49,1.235
2015-09-04 0:00:00,145,1582,53,1.34
2015-09-05 0:00:00,168,1640,74,1.3
2015-09-06 0:00:00,126,1731,57,1.365
2015-09-07 0:00:00,227,1790,104,1.31
2015-09-08 0:00:00,125,1696,72,1.27
2015-09-09 0:00:00,173,1711,64,1.235
2015-09-10 0:00:00,102,1675,48,1.165
2015-09-11 0:00:00,186,1838,82,1.0571
2015-09-12 0:00:00,141,1692,73,1.0371
2015-09-13 0:00:00,210,1759,73,1.01685
2015-09-14 0:00:00,157,1780,82,0.9236
2015-09-15 0:00:00,169,1645,75,0.902
2015-09-16 0:00:00,136,1679,67,0.9463
2015-09-17 0:00:00,107,1668,67,0.88005
2015-09-18 0:00:00,170,1642,98,0.86615
2015-09-19 0:00:00,108,1550,72,0.84565
2015-09-20 0:00:00,120,1635,65,0.885
2015-09-21 0:00:00,133,1698,109,0.91855
2015-09-22 0:00:00,133,1711,96,0.87355
2015-09-23 0:00:00,150,1877,78,0.85795
2015-09-24 0:00:00,135,1753,89,0.855
2015-09-25 0:00:00,119,1700,90,0.74115
2015-09-26 0:00:00,62,1555,49,0.7254
2015-09-27 0:00:00,74,1536,64,0.7355
2015-09-28 0:00:00,115,1691,63,0.65235
2015-09-29 0:00:00,123,1675,87,0.5908
2015-09-30 0:00:00,99,1632,79,0.6223
2015-10-01 0:00:00,97,1621,84,0.6841
2015-10-02 0:00:00,81,1520,42,0.6604
2015-10-03 0:00:00,126,1527,56,0.67215
2015-10-04 0:00:00,88,1519,41,0.6421
2015-10-05 0:00:00,132,1576,93,0.60865
2015-10-06 0:00:00,95,1554,58,0.6301
2015-10-07 0:00:00,95,1511,57,0.6055
2015-10-08 0:00:00,66,1459,59,0.62
2015-10-09 0:00:00,74,1489,43,0.60265
2015-10-10 0:00:00,60,1407,44,0.69255
2015-10-11 0:00:00,56,1433,46,0.5993
2015-10-12 0:00:00,113,1482,87,0.6345
2015-10-13 0:00:00,202,1623,84,0.6258
