DateTime,Number of Transactions,Price
2015-08-07 0:00:00,2035,1.83735
2015-08-08 0:00:00,2344,1.575
2015-08-09 0:00:00,1312,1.2
2015-08-10 0:00:00,2027,1.2
2015-08-11 0:00:00,4955,0.9252
2015-08-12 0:00:00,2009,1.0975
2015-08-13 0:00:00,2834,1.57
2015-08-14 0:00:00,3166,1.945
2015-08-15 0:00:00,2269,1.645
2015-08-16 0:00:00,2438,1.145
2015-08-17 0:00:00,2512,1.42
2015-08-18 0:00:00,2493,1.255
2015-08-19 0:00:00,3215,1.175
2015-08-20 0:00:00,2301,1.38
2015-08-21 0:00:00,3906,1.485
2015-08-22 0:00:00,3574,1.42
2015-08-23 0:00:00,4187,1.355
2015-08-24 0:00:00,4432,1.295
2015-08-25 0:00:00,4470,1.25
2015-08-26 0:00:00,4153,1.175
2015-08-27 0:00:00,5550,1.165
2015-08-28 0:00:00,4757,1.22
2015-08-29 0:00:00,4138,1.225
2015-08-30 0:00:00,4571,1.26
2015-08-31 0:00:00,5194,1.11
2015-09-01 0:00:00,5141,1.345
2015-09-02 0:00:00,5189,1.255
2015-09-03 0:00:00,4766,1.235
2015-09-04 0:00:00,5624,1.34
2015-09-05 0:00:00,5509,1.3
2015-09-06 0:00:00,5516,1.365
2015-09-07 0:00:00,5696,1.31
2015-09-08 0:00:00,5611,1.27
2015-09-09 0:00:00,5599,1.235
2015-09-10 0:00:00,5331,1.165
2015-09-11 0:00:00,6456,1.0571
2015-09-12 0:00:00,5582,1.0371
2015-09-13 0:00:00,6044,1.01685
2015-09-14 0:00:00,5570,0.9236
2015-09-15 0:00:00,5406,0.902
2015-09-16 0:00:00,5866,0.9463
2015-09-17 0:00:00,5365,0.88005
2015-09-18 0:00:00,5782,0.86615
2015-09-19 0:00:00,5199,0.84565
2015-09-20 0:00:00,6380,0.885
2015-09-21 0:00:00,6303,0.91855
2015-09-22 0:00:00,6802,0.87355
2015-09-23 0:00:00,7376,0.85795
2015-09-24 0:00:00,6218,0.855
2015-09-25 0:00:00,5846,0.74115
2015-09-26 0:00:00,5904,0.7254
2015-09-27 0:00:00,5747,0.7355
2015-09-28 0:00:00,6115,0.65235
2015-09-29 0:00:00,5737,0.5908
2015-09-30 0:00:00,5866,0.6223
2015-10-01 0:00:00,6419,0.6841
2015-10-02 0:00:00,6052,0.6604
2015-10-03 0:00:00,6112,0.67215
2015-10-04 0:00:00,6624,0.6421
2015-10-05 0:00:00,6240,0.60865
2015-10-06 0:00:00,6456,0.6301
2015-10-07 0:00:00,7113,0.6055
2015-10-08 0:00:00,6926,0.62
2015-10-09 0:00:00,6761,0.60265
2015-10-10 0:00:00,6529,0.69255
2015-10-11 0:00:00,6023,0.5993
2015-10-12 0:00:00,6571,0.6345
2015-10-13 0:00:00,6815,0.6258
2015-10-14 0:00:00,6818,0.55085
2015-10-15 0:00:00,6472,0.5216
2015-10-16 0:00:00,6769,0.5436
2015-10-17 0:00:00,6564,0.53
2015-10-18 0:00:00,6462,0.5125
2015-10-19 0:00:00,6597,0.49355
2015-10-20 0:00:00,5894,0.46025
2015-10-21 0:00:00,6174,0.44595
2015-10-22 0:00:00,5962,0.51
2015-10-23 0:00:00,6861,0.5545
2015-10-24 0:00:00,6354,0.53305
2015-10-25 0:00:00,5813,0.62875
2015-10-26 0:00:00,5910,0.663
2015-10-27 0:00:00,6750,0.8011
2015-10-28 0:00:00,7340,0.915
2015-10-29 0:00:00,7780,1.08585
2015-10-30 0:00:00,7909,1.23
2015-10-31 0:00:00,7522,1.0038
2015-11-01 0:00:00,6893,0.9288
2015-11-02 0:00:00,6543,1.01765
2015-11-03 0:00:00,7393,0.95125
2015-11-04 0:00:00,7033,0.92935
2015-11-05 0:00:00,7488,0.8995
2015-11-06 0:00:00,7874,0.88995
2015-11-07 0:00:00,10975,0.89735
2015-11-08 0:00:00,12394,0.94725
2015-11-09 0:00:00,7688,0.985
2015-11-10 0:00:00,8142,0.95
2015-11-11 0:00:00,10217,0.835
2015-11-12 0:00:00,9368,0.825
2015-11-13 0:00:00,7886,0.86975
2015-11-14 0:00:00,7206,0.8918
2015-11-15 0:00:00,7166,0.89695
2015-11-16 0:00:00,7436,0.7931
2015-11-17 0:00:00,7145,0.9612
2015-11-18 0:00:00,7363,0.975
2015-11-19 0:00:00,8872,0.96
2015-11-20 0:00:00,6347,0.925
2015-11-21 0:00:00,6820,0.94
2015-11-22 0:00:00,7083,0.92635
2015-11-23 0:00:00,8260,0.92
2015-11-24 0:00:00,7149,0.93
2015-11-25 0:00:00,7097,0.89
2015-11-26 0:00:00,7278,0.86275
2015-11-27 0:00:00,6639,0.885
2015-11-28 0:00:00,6792,0.895
2015-11-29 0:00:00,6849,0.88
2015-11-30 0:00:00,8957,0.8737
2015-12-01 0:00:00,6782,0.8654
2015-12-02 0:00:00,6496,0.835
2015-12-03 0:00:00,6946,0.81395
2015-12-04 0:00:00,6878,0.8323
2015-12-05 0:00:00,6772,0.8525
2015-12-06 0:00:00,9080,0.8475
2015-12-07 0:00:00,7138,0.80395
2015-12-08 0:00:00,6690,0.8388
2015-12-09 0:00:00,7000,0.80715
2015-12-10 0:00:00,7416,0.824
2015-12-11 0:00:00,8097,0.835
2015-12-12 0:00:00,8202,0.9299
2015-12-13 0:00:00,7411,0.9292
2015-12-14 0:00:00,15525,0.9764
2015-12-15 0:00:00,20359,0.98
2015-12-16 0:00:00,10294,0.95
2015-12-17 0:00:00,9599,0.88655
2015-12-18 0:00:00,9029,0.92
2015-12-19 0:00:00,9273,0.9064
2015-12-20 0:00:00,9591,0.98175
2015-12-21 0:00:00,12061,0.99
2015-12-22 0:00:00,21023,0.93995
2015-12-23 0:00:00,22737,0.92985
2015-12-24 0:00:00,13492,0.86995
2015-12-25 0:00:00,9519,0.86845
2015-12-26 0:00:00,10722,0.925
2015-12-27 0:00:00,21864,0.879
2015-12-28 0:00:00,12362,0.879
2015-12-29 0:00:00,11349,0.86665
2015-12-30 0:00:00,21672,0.8945
2015-12-31 0:00:00,10301,0.92955
2016-01-01 0:00:00,8232,0.9336
2016-01-02 0:00:00,9164,0.93735
2016-01-03 0:00:00,9258,0.9603
2016-01-04 0:00:00,9469,0.9415
2016-01-05 0:00:00,16424,0.9504
2016-01-06 0:00:00,17059,0.9406
2016-01-07 0:00:00,22063,0.945
2016-01-08 0:00:00,10916,0.9625
2016-01-09 0:00:00,11774,0.9817
2016-01-10 0:00:00,10320,0.9951
2016-01-11 0:00:00,10890,1.05
2016-01-12 0:00:00,10860,1.15
2016-01-13 0:00:00,16158,1.145
2016-01-14 0:00:00,10648,1.13
2016-01-15 0:00:00,9868,1.245
2016-01-16 0:00:00,10660,1.26
2016-01-17 0:00:00,9743,1.26
2016-01-18 0:00:00,12916,1.43
2016-01-19 0:00:00,13416,1.345
2016-01-20 0:00:00,10609,1.415
2016-01-21 0:00:00,10728,1.505
2016-01-22 0:00:00,13845,1.54
2016-01-23 0:00:00,11020,1.71
2016-01-24 0:00:00,12793,1.7
2016-01-25 0:00:00,17111,2.465
2016-01-26 0:00:00,16508,2.525
2016-01-27 0:00:00,18727,2.34
2016-01-28 0:00:00,16754,2.425
2016-01-29 0:00:00,16381,2.41
2016-01-30 0:00:00,14648,2.485
2016-01-31 0:00:00,14163,2.37
2016-02-01 0:00:00,14187,2.16
2016-02-02 0:00:00,14279,2.285
2016-02-03 0:00:00,14269,2.42
2016-02-04 0:00:00,14371,2.645
2016-02-05 0:00:00,15246,2.53
2016-02-06 0:00:00,31399,2.525
2016-02-07 0:00:00,14260,2.755
2016-02-08 0:00:00,14704,2.995
2016-02-09 0:00:00,15515,3.555
2016-02-10 0:00:00,17128,4.24
2016-02-11 0:00:00,21425,4.91
2016-02-12 0:00:00,18089,5.76
2016-02-13 0:00:00,19322,4.935
2016-02-14 0:00:00,16617,4.955
2016-02-15 0:00:00,17148,5.24
2016-02-16 0:00:00,17522,4.72
2016-02-17 0:00:00,19943,4.14
2016-02-18 0:00:00,16939,4.035
2016-02-19 0:00:00,18386,4.405
2016-02-20 0:00:00,16680,4.365
2016-02-21 0:00:00,17102,4.315
